state,Zip,postings_seen
GA,30168,87
IL,60061,87
TX,78234,86
MN,55303,86
NY,13761,86
GA,30049,86
FL,32603,86
CT,06856,86
NY,11790,86
IL,60515,86
WI,53209,86
IA,50131,85
KY,42223,85
CA,91319,85
CA,91316,85
UT,84401,85
CT,06813,84
WI,53562,84
IL,60004,84
NJ,07602,84
SC,29501,84
OR,97702,84
VT,05602,83
VA,23434,83
KS,66063,83
IN,46582,83
MN,56501,82
PA,19446,82
NC,27260,82
CT,06725,82
LA,71459,82
CA,92331,82
CO,81501,82
TX,77508,82
NY,12020,82
NY,12144,82
TX,75702,82
TX,75001,82
CA,91765,81
VA,22448,81
TX,77381,81
NY,14850,81
MD,21117,81
IL,60540,81
FL,33027,80
IL,60523,80
CT,06032,80
MN,55021,80
MN,55441,80
NJ,08060,80
ND,58801,80
KY,42002,80
ME,04116,79
NY,11030,79
OH,43221,79
VA,20110,79
ID,83642,78
OH,44485,78
WI,53151,78
NY,10314,78
OH,44125,78
MD,21207,78
TX,75401,78
IL,61552,78
MN,55404,78
TX,75019,78
NJ,07728,78
IA,50322,78
NV,89086,78
NJ,07936,77
WI,54935,77
LA,71133,77
WI,53214,77
TX,75054,77
PA,19428,77
WI,54903,77
OH,43054,76
TX,75013,76
TX,79604,76
GA,30722,76
KS,66044,76
CA,91007,76
MN,55369,76
OH,44052,76
WI,54702,76
SD,57703,76
FL,33948,76
WI,53545,76
MA,01748,76
NY,11716,75
IL,60143,75
OR,97475,75
PA,16046,75
TX,78654,75
TX,76541,75
TX,76051,75
NH,03801,75
MD,20653,74
TX,75069,74
IL,62225,74
NJ,08755,74
WA,98226,74
MN,56002,74
IN,47202,74
MO,64501,74
WI,53718,74
NC,28601,73
DE,19904,73
NY,12601,73
WI,54602,73
TX,75020,73
NJ,07747,73
PA,19403,73
FL,33332,73
GA,30905,73
TX,76206,73
OH,45013,73
PA,18503,73
TN,38301,73
CA,94590,73
TX,75029,73
MN,55402,73
WV,25327,72
CT,06457,72
CA,94002,72
MN,55306,72
IL,60007,72
MO,63368,72
MO,64804,72
IL,60532,72
VA,22554,72
VA,22401,71
IN,46901,71
FL,34603,71
NV,89077,71
MD,21284,71
CA,93955,71
KY,40604,70
ME,04330,70
FL,33388,70
MT,59626,70
NJ,08902,70
GA,30005,70
CT,06484,70
IL,61821,69
VA,22803,69
AL,35902,69
MA,01888,69
MA,01824,69
NJ,08534,69
SD,57401,69
CA,94579,68
CA,90630,68
FL,32548,68
PA,19004,68
TN,37040,68
NY,13603,68
GA,30013,68
NJ,07302,68
IL,60045,68
WA,98345,68
NJ,07068,67
MN,55447,67
IL,60018,67
MO,65613,67
TX,77487,67
MI,48201,67
WY,82601,67
IA,52240,67
CA,93940,67
MI,48601,67
IA,50501,67
CA,94551,67
OH,44711,67
PA,17013,67
MN,55741,66
NJ,08034,66
FL,32920,66
PA,15122,66
NE,68802,66
TX,76906,66
UT,84111,66
MD,20726,66
NC,27111,66
AL,35486,65
VA,23707,65
IN,46038,65
AR,72766,65
MD,20875,65
TX,75601,65
IN,46016,65
PA,19341,65
LA,70593,65
NY,11735,65
WI,53222,65
UT,84404,65
MN,55420,65
WI,53792-2409,65
CA,92630,64
GA,30339,64
IL,62269,64
MI,49443,64
MD,20619,64
GA,30024,64
CA,90277,64
NE,68601,64
NH,03051,64
MA,01760,64
CT,06002,64
NJ,07645,64
NY,10606,64
NV,89435,64
MN,55044,64
MN,55119,64
GA,31820,63
GA,30501,63
CA,94540,63
RI,02887,63
OH,44087,63
NJ,08628,63
CA,95035,63
OH,45805,63
FL,32956,63
AZ,85670,63
WI,53201,63
MN,55125,62
UT,84104,62
FL,33778,62
WA,98030,62
MD,21005,62
ID,83401,62
ID,83301,62
MA,01581,62
WA,98168,61
MN,55066,61
MN,55060,61
TN,37830,61
CA,92864,61
MI,48073,61
UT,84020,61
MD,21090,61
ND,58102,61
CO,80840,61
WY,82718,61
IA,50402,61
MD,20670,61
NJ,07470,60
IL,62523,60
NY,14072,60
PA,15213,60
NJ,07974,60
CO,80138,60
WI,53022,60
NH,03079,60
TX,76092,60
AR,71914,60
MD,20768,60
NJ,08536,59
TX,78701,59
GA,30097,59
CO,80011,59
WI,53212,59
OH,45018,59
WI,53210,59
NE,68848,59
IL,60169,59
CA,91943,59
NH,03302,59
CA,90602,59
NJ,08053,59
VA,23060,59
RI,02842,58
CA,94912,58
WI,53590,58
MI,49016,58
PA,17057,58
NY,14226,58
CA,94531,58
KY,40121,58
ME,03906,58
IA,50011,58
WA,98093,58
CA,92878,58
MD,21031,58
MS,39701,57
NE,68005,57
FL,33508,57
NY,11788,57
MS,38655,57
NY,14231,57
WI,53711,57
IL,60079,57
NJ,07101,57
GA,30041,57
GA,30328,57
NJ,08816,57
AL,36204,57
TN,37614,57
CA,92408,56
MD,21801,56
FL,32114,56
ME,04104,56
OH,45433,56
MN,55107,56
OH,44060,56
LA,71201,56
CT,06790,56
CA,91325,56
WI,53719,56
UT,84116,56
OH,43026,56
HI,96786,56
NJ,08512,55
UT,84605,55
IL,61266,55
ME,04243,55
AK,99811,55
LA,70616,55
PA,19111,55
NY,14580,55
PA,19464,55
MN,55414,55
IN,46140,55
IL,60056,55
MN,55109,54
IL,60008,54
GA,30122,54
CO,80021,54
MN,55082,54
OH,44143,54
MA,01085,54
IL,60505,54
IA,52501,54
AZ,85375,54
WI,53916,54
CA,94518,54
ID,83501,54
CA,91412,54
GA,30297,54
SC,29118,54
CA,96067,54
MI,48503,54
SD,57104,54
NY,14127,53
FL,32789,53
GA,31095,53
NJ,08733,53
PA,16801,53
MN,56007,53
IL,60089,53
WI,53095,53
PA,17043,53
GA,30085,53
MS,39402,53
CO,80020,53
WI,54476,53
WI,54301,53
OK,73012,53
WA,98902,52
IN,46383,52
NE,68602,52
UT,84119,52
OH,45241,52
NJ,07097,52
UT,84118,52
CA,91715,52
GA,30154,52
TX,79701,52
NC,27216,52
WI,53408,52
PA,19462,52
CA,91769,52
CA,94010,51
OH,43528,51
FL,33458,51
MN,56001,51
UT,84056,51
VA,23187,51
PA,15219,51
HI,96701,51
TX,77903,51
MN,55120,51
CO,80903,51
GA,30038,51
MI,48101,51
UT,84791,51
OH,44128,51
WA,98337,51
OR,97070,51
TX,75501,51
TX,76095,51
GA,30160,51
TX,79768,51
HI,96858,51
NC,28117,51
MN,55428,51
NY,13790,51
MN,55987,51
WI,53511,51
MA,01453,50
MN,55305,50
OH,43537,50
GA,31315,50
OH,43616,50
KS,67277,50
ME,04401,50
ME,04332,50
NY,13126,50
NJ,07740,50
AZ,85366,50
FL,34284,50
WV,26301,50
CO,80539,50
CA,93010,50
CA,93032,50
MA,01757,50
TX,77477,50
NJ,08817,50
