AZ,BISBEE,0,0,1,0,0
AZ,BUCKEYE,0,0,3,0,0
AZ,BULLHEAD CITY,0,0,2,0,0
AZ,Bagdad,0,0,0,0,1
AZ,Bapchule,0,1,0,0,0
AZ,Bellemont,0,1,0,0,0
AZ,Benson,0,0,1,1,0
AZ,Buckeye,0,0,1,0,0
AZ,Bullhead City,0,0,3,5,3
AZ,CAMP VERDE,0,0,1,0,0
AZ,CASA GRANDE,0,0,4,5,0
AZ,CAVE CREEK,0,0,1,0,0
AZ,CHANDLER,0,0,16,40,0
AZ,COOLIDGE,0,0,1,0,0
AZ,Camp Verde,0,0,0,0,1
AZ,Casa Grande,0,0,14,15,2
AZ,Chandler,0,1,76,161,11
AZ,Chinle,0,0,7,5,1
AZ,Chino Valley,0,0,0,0,1
AZ,Cibecue,0,0,0,0,1
AZ,Cottonwood,0,0,1,0,3
AZ,Cypress,0,0,0,1,0
AZ,Davis Dam,0,0,1,0,0
AZ,Davis Monthan AFB,0,0,6,3,1
AZ,Douglas,0,0,0,0,3
AZ,ELOY,0,0,4,4,1
AZ,El Mirage,0,0,2,1,0
AZ,Eloy,0,0,2,1,0
AZ,FLAGSTAFF,0,0,2,2,0
AZ,FORT DEFIANCE,0,0,0,6,0
AZ,FREDONIA,0,0,1,0,0
AZ,Field Rep 002,0,0,0,4,0
AZ,Flagstaff,0,0,10,9,4
AZ,Fort Defiance,0,0,4,0,0
AZ,Fort Huachua,0,0,0,1,0
AZ,Fort Huachuca,0,0,8,47,6
AZ,Fort McDowell,0,1,0,0,0
AZ,Fort Mohave,0,0,0,1,0
AZ,Fountain Hills,0,0,2,1,1
AZ,Ft Huachuca,0,0,1,0,0
AZ,Ft. Huachuca,0,0,1,1,0
AZ,GILBERT,0,0,0,5,0
AZ,GLENDALE,0,0,7,1,0
AZ,GLOBE,0,0,0,4,0
AZ,Gila Bend AFAF,0,0,0,1,0
AZ,Gilbert,0,2,18,54,11
AZ,Glendale,0,1,36,79,6
AZ,Globe,0,0,0,0,1
AZ,Golden Valley,0,0,3,3,3
AZ,Good Year,0,0,1,0,0
AZ,Goodyear,0,0,10,2,2
AZ,Grand Canyon,0,1,2,2,0
AZ,Green Valley,0,0,0,0,1
AZ,Inscription House,0,0,1,0,0
AZ,Internships Tempe,0,0,0,1,0
AZ,JEROME,0,0,0,1,0
AZ,Joseph City,0,0,1,0,0
AZ,KINGMAN,0,0,1,1,0
