state,Zip,S&E,S&E-related,STEM Middle-skill
AZ,85121,0,0,1
AZ,85122,0,0,1
AZ,85128,0,0,1
AZ,85131,3,8,1
AZ,85132,0,11,2
AZ,85138,0,0,2
AZ,85140,0,10,0
AZ,85142,0,7,1
AZ,85193,5,29,5
AZ,85210,0,0,4
AZ,85213,36,136,35
AZ,85250,0,0,1
AZ,85258,255,189,23
AZ,85264,0,0,1
AZ,85268,0,4,0
AZ,85281,0,0,1
AZ,85282,147,47,45
AZ,85283,0,0,2
AZ,85284,2,0,0
AZ,85286,195,91,29
AZ,85295,14,67,11
AZ,85302,1,0,0
AZ,85304,44,74,13
AZ,85309,6,3,1
AZ,85321,0,1,0
AZ,85327,0,0,1
AZ,85335,0,3,0
AZ,85338,0,9,5
AZ,85339,0,5,3
AZ,85340,0,1,0
AZ,85344,0,2,4
AZ,85349,0,1,0
AZ,85353,1,3,6
AZ,85356,1,0,1
AZ,85361,0,2,0
AZ,85363,0,2,1
AZ,85364,2,0,3
AZ,85365,6,5,5
AZ,85366,13,28,9
AZ,85372,2,23,0
AZ,85375,0,53,1
AZ,85379,3,12,4
AZ,85381,2,14,18
AZ,85390,0,0,1
AZ,85392,1,7,3
AZ,85396,0,0,4
AZ,85501,0,5,0
AZ,85539,1,0,2
AZ,85541,1,15,2
AZ,85543,1,0,0
AZ,85546,2,1,0
AZ,85550,0,2,0
AZ,85602,0,2,0
AZ,85603,0,0,1
AZ,85607,0,3,0
AZ,85613,0,0,1
AZ,85614,0,1,0
AZ,85615,0,0,1
AZ,85621,0,7,2
AZ,85634,0,3,0
AZ,85635,211,98,13
AZ,85640,0,0,1
AZ,85658,2,4,6
AZ,85670,55,8,0
AZ,85702,238,302,73
AZ,85705,0,0,1
AZ,85707,3,3,4
AZ,85710,0,1,0
AZ,85737,0,24,0
AZ,85756,1,0,0
AZ,85901,0,11,4
AZ,85911,0,1,0
AZ,85938,0,0,2
AZ,85939,0,1,1
AZ,85941,0,15,0
AZ,86001,6,14,8
AZ,86015,1,0,1
AZ,86022,0,0,1
AZ,86023,0,2,3
AZ,86032,0,0,1
AZ,86033,0,1,2
AZ,86040,1,5,2
AZ,86042,0,3,1
AZ,86046,0,0,3
AZ,86047,0,0,1
AZ,86301,0,5,0
AZ,86304,5,17,2
AZ,86314,0,7,1
AZ,86321,0,1,0
AZ,86322,0,1,1
AZ,86323,0,1,0
AZ,86326,0,4,1
AZ,86331,1,0,0
AZ,86337,0,0,1
AZ,86402,0,0,1
AZ,86403,0,0,2
AZ,86405,0,5,1
AZ,86409,2,2,9
AZ,86413,2,6,1
AZ,86427,0,1,0
AZ,86439,0,10,2
AZ,86442,0,0,1
AZ,86503,1,11,1
AZ,86504,0,10,0
AZ,86510,0,1,0
AZ,86511,0,0,1
AZ,86515,1,0,0
CA,15201,1,1,0
CA,90001,1,0,2
CA,90004,0,1,0
CA,90006,883,748,133
CA,90010,0,1,0
CA,90011,0,0,1
CA,90012,0,0,1
CA,90013,10,0,0
CA,90017,3,0,0
CA,90022,0,1,1
CA,90025,6,0,2
CA,90027,0,0,1
CA,90031,0,0,1
CA,90032,2,1,0
CA,90034,0,1,0
CA,90040,0,1,0
CA,90041,0,1,0
CA,90042,0,1,0
CA,90045,0,2,0
CA,90058,2,3,6
CA,90061,1,17,0
CA,90065,0,1,0
CA,90066,1,1,0
CA,90067,0,1,0
CA,90069,6,2,0
CA,90071,1,2,0
CA,90078,5,2,6
CA,90091,3,2,8
CA,90201,0,1,0
CA,90202,2,0,0
CA,90209,13,16,0
CA,90220,5,4,7
CA,90221,0,0,1
CA,90231,98,22,6
CA,90241,31,133,8
CA,90242,0,1,0
CA,90245,273,50,17
CA,90247,8,7,8
CA,90249,1,0,0
CA,90251,273,20,24
CA,90254,6,0,0
CA,90255,1,0,6
CA,90260,0,0,1
CA,90262,0,1,0
CA,90264,2,0,0
CA,90267,12,3,2
CA,90272,0,1,0
CA,90277,50,6,8
CA,90280,1,1,2
CA,90291,10,1,2
CA,90292,8,1,4
CA,90301,1,8,5
CA,90404,0,2,0
CA,90407,100,48,11
CA,90503,0,0,2
CA,90509,85,60,22
CA,90602,4,41,14
CA,90604,0,1,0
CA,90620,2,0,1
CA,90623,2,4,0
CA,90624,2,6,11
CA,90630,47,16,5
CA,90631,1,0,1
CA,90633,4,1,1
CA,90638,1,1,12
CA,90638-5826,0,0,2
CA,90640,0,1,3
CA,90651,5,7,1
CA,90660,0,0,6
CA,90670,3,0,2
CA,90671,4,12,20
CA,90680,0,0,1
CA,90703,35,46,12
CA,90704,0,1,0
CA,90705,0,0,1
CA,90707,2,22,2
CA,90710,1,138,0
CA,90714,0,0,6
CA,90720,0,1,6
CA,90721,6,2,7
CA,90723,2,0,3
CA,90731,2,11,0
CA,90740,8,6,3
CA,90745,1,0,0
CA,90746,3,1,9
CA,90748,3,0,4
CA,90755,2,0,2
CA,90805,0,1,0
CA,90806,74,32,23
CA,90808,1,1,0
CA,91001,0,1,1
CA,91007,55,18,3
CA,91009,13,31,3
CA,91010,18,4,9
CA,91016,9,4,4
CA,91021,1,0,0
CA,91030,0,1,0
CA,91031,0,0,1
CA,91101,2,0,0
CA,91105,0,1,0
CA,91107,1,0,0
CA,91109,1,0,0
CA,91116,92,37,9
CA,91121,1,0,0
CA,91222,112,60,17
CA,91304,0,0,1
CA,91305,23,6,3
CA,91307,0,4,1
CA,91310,0,1,0
CA,91311,10,12,13
CA,91316,66,17,2
CA,91319,37,37,11
CA,91320,1,2,1
CA,91325,35,20,1
CA,91326,0,1,0
CA,91331,2,2,0
CA,91334,1,0,0
CA,91337,1,6,0
CA,91340,4,1,7
CA,91342,1,0,0
CA,91343,0,0,1
CA,91344,0,3,1
CA,91346,1,47,0
CA,91352,0,0,1
CA,91353,1,0,3
CA,91355,21,2,18
CA,91357,1,27,0
CA,91358,86,57,11
CA,91359,33,5,0
CA,91365,82,90,7
CA,91367,2,0,1
CA,91372,21,0,1
CA,91376,5,0,0
CA,91377,0,1,0
CA,91384,0,0,1
CA,91387,0,0,1
CA,91390,8,6,1
CA,91392,25,7,16
CA,91393,0,0,4
CA,91403,13,1,1
CA,91406,0,0,2
CA,91407,13,4,15
CA,91412,0,53,1
CA,91436,1,0,0
CA,91504,0,0,1
CA,91506,70,32,23
CA,91603,7,10,13
CA,91604,2,0,0
CA,91605,1,0,0
CA,91608,14,2,5
CA,91702,5,2,13
CA,91706,5,33,4
CA,91708,6,5,18
CA,91709,0,1,1
CA,91711,0,5,1
CA,91715,29,4,19
CA,91723,8,4,3
CA,91730,3,0,4
CA,91731,0,0,1
CA,91733,0,0,1
CA,91734,18,3,3
CA,91737,17,8,13
CA,91741,5,1,3
CA,91745,0,1,0
CA,91746,2,0,0
CA,91752,0,4,44
CA,91754,0,1,0
CA,91755,22,4,1
CA,91758,57,35,46
CA,91761,2,0,2
CA,91763,1,1,2
CA,91764,0,0,3
CA,91765,38,40,3
CA,91769,18,17,17
CA,91770,8,0,3
CA,91773,9,3,1
CA,91780,0,1,0
CA,91786,5,2,5
CA,91789,0,0,5
CA,91790,0,1,0
CA,91793,1,5,4
CA,91801,0,4,1
CA,91803,2,0,3
CA,91902,0,5,0
CA,91910,3,34,9
CA,91932,0,3,2
CA,91942,0,1,0
CA,91943,0,52,7
CA,91945,0,1,1
CA,91951,1,0,5
CA,91979,0,4,2
CA,92008,106,24,16
CA,92010,2,2,1
CA,92011,1,0,0
CA,92014,0,4,0
CA,92019,3,6,8
CA,92024,0,28,2
CA,92025,0,1,0
CA,92033,6,11,8
CA,92038,76,71,3
CA,92040,1,2,1
CA,92054,6,7,15
CA,92055,16,3,5
CA,92056,1,1,0
CA,92065,1,1,1
CA,92071,0,1,0
CA,92072,1,2,3
CA,92074,6,5,11
CA,92075,4,0,0
CA,92079,1,18,10
CA,92081,0,1,0
CA,92085,5,10,13
CA,92088,3,0,0
CA,92101,0,1,0
CA,92102,0,2,0
CA,92105,0,1,0
CA,92106,0,0,1
CA,92108,1339,567,192
CA,92110,3,0,0
CA,92111,1,0,0
CA,92113,0,0,3
CA,92120,0,1,0
CA,92121,8,0,2
CA,92121-4779,2,0,0
CA,92123,3,0,4
CA,92124,3,0,0
CA,92127,0,2,0
CA,92128,2,1,1
CA,92131,6,0,1
CA,92135,1,0,1
CA,92136,1,0,0
CA,92143,1,0,1
CA,92154,1,0,1
CA,92161,1,0,0
CA,92178,7,7,3
CA,92201,0,8,9
CA,92203,0,2,0
CA,92210,0,3,0
CA,92220,0,1,0
CA,92223,0,1,10
CA,92225,0,2,0
CA,92227,0,0,2
CA,92230,0,0,1
CA,92231,1,3,0
CA,92232,2,0,0
CA,92235,0,4,0
CA,92236,1,5,1
CA,92240,0,1,0
CA,92243,0,0,1
CA,92244,2,16,1
