state,Zip,1.0,2.0,3.0,4.0,5.0
CA,90202,0,0,1,1,0
CA,90209,0,0,11,14,4
CA,90220,0,1,8,3,3
CA,90231,0,0,28,93,5
CA,90241,0,0,29,124,19
CA,90242,0,0,0,1,0
CA,90245,0,0,81,243,15
CA,90247,0,1,12,5,4
CA,90249,0,0,1,0,0
CA,90251,0,11,31,270,4
CA,90254,0,0,0,6,0
CA,90255,0,0,6,1,0
CA,90260,0,0,1,0,0
CA,90262,0,0,0,0,1
CA,90264,0,0,0,2,0
CA,90267,0,0,4,9,4
CA,90277,0,0,19,37,8
CA,90280,0,0,4,0,0
CA,90291,0,0,5,7,1
CA,90292,0,0,8,3,2
CA,90301,0,0,9,2,2
CA,90404,0,0,1,1,0
CA,90407,0,0,45,105,8
CA,90503,0,0,2,0,0
CA,90509,0,0,58,97,10
CA,90602,0,0,24,33,0
CA,90604,0,0,0,0,1
CA,90620,0,0,1,2,0
CA,90623,0,0,3,2,1
CA,90624,0,0,13,3,2
CA,90630,0,0,23,42,3
CA,90631,0,0,1,1,0
CA,90633,0,0,5,1,0
CA,90638,0,1,11,1,0
CA,90638-5826,0,0,2,0,0
CA,90640,0,0,3,1,0
CA,90651,0,0,3,8,0
CA,90660,0,0,6,0,0
CA,90670,0,1,2,2,0
CA,90671,0,0,17,11,2
CA,90680,0,0,1,0,0
CA,90703,0,0,24,49,15
CA,90704,0,0,1,0,0
CA,90705,0,0,1,0,0
CA,90707,0,0,7,16,3
CA,90710,0,0,4,135,0
CA,90714,0,1,5,0,0
CA,90720,0,0,6,1,0
CA,90721,0,0,9,6,0
CA,90723,0,0,2,2,0
CA,90731,0,0,5,7,1
CA,90740,0,1,6,9,0
CA,90745,0,0,0,1,0
CA,90746,0,2,7,3,0
CA,90748,0,0,3,3,0
CA,90755,0,0,2,2,0
CA,90805,0,0,0,1,0
CA,90806,0,0,45,75,8
CA,90808,0,0,0,2,0
CA,91001,0,0,2,0,0
CA,91007,0,0,16,60,0
CA,91009,0,0,5,28,14
CA,91010,0,0,14,14,2
CA,91016,0,0,5,8,3
CA,91021,0,0,0,1,0
CA,91030,0,0,0,1,0
CA,91031,0,0,1,0,0
CA,91101,0,0,0,0,2
CA,91105,0,0,1,0,0
CA,91107,0,0,0,0,1
CA,91109,0,0,0,1,0
CA,91116,0,0,39,86,12
CA,91121,0,0,1,0,0
CA,91222,0,0,59,109,17
CA,91304,0,1,0,0,0
CA,91305,0,0,6,24,2
CA,91307,0,0,3,1,1
CA,91310,0,0,0,0,1
CA,91311,0,0,23,10,1
CA,91316,0,0,18,66,1
CA,91319,0,0,17,53,13
CA,91320,0,0,1,2,1
CA,91325,0,0,15,37,4
CA,91326,0,0,1,0,0
CA,91331,0,0,2,2,0
CA,91334,0,0,1,0,0
CA,91337,0,0,1,2,4
CA,91340,0,0,5,5,0
CA,91342,0,0,0,1,0
CA,91343,0,0,1,0,0
CA,91344,0,0,1,3,0
CA,91346,0,0,14,29,5
CA,91352,0,0,1,0,0
CA,91353,0,0,0,1,0
CA,91355,0,1,16,21,0
CA,91357,0,0,10,16,2
CA,91358,0,0,23,93,34
CA,91359,0,0,7,25,6
CA,91365,0,0,35,119,25
CA,91367,0,0,2,1,0
CA,91372,0,0,8,13,1
CA,91376,0,0,0,5,0
CA,91377,0,0,0,1,0
CA,91384,0,0,1,0,0
CA,91387,0,0,1,0,0
CA,91390,0,0,2,9,4
CA,91392,0,2,17,24,1
CA,91393,0,0,4,0,0
CA,91403,0,0,5,10,0
CA,91406,0,1,1,0,0
CA,91407,0,0,21,11,0
CA,91412,0,0,17,29,8
CA,91436,0,0,0,1,0
CA,91504,0,0,1,0,0
CA,91506,0,3,44,72,5
CA,91603,0,2,15,10,2
CA,91604,0,0,1,1,0
CA,91605,0,0,0,1,0
CA,91608,0,0,11,10,0
CA,91702,0,0,13,5,2
CA,91706,0,0,7,29,6
CA,91708,0,2,18,8,0
CA,91709,0,0,1,1,0
CA,91711,0,0,1,5,0
CA,91715,0,0,26,22,2
CA,91723,0,2,3,9,1
CA,91730,0,1,3,3,0
CA,91733,0,0,1,0,0
CA,91734,0,0,11,10,2
CA,91737,0,0,18,16,3
CA,91741,0,1,3,4,1
CA,91745,0,0,0,0,1
CA,91746,0,0,2,0,0
CA,91752,0,0,44,0,0
CA,91754,0,0,0,0,1
CA,91755,0,0,7,15,5
CA,91758,0,1,77,49,8
CA,91761,0,0,1,3,0
CA,91763,0,0,2,2,0
CA,91764,0,1,1,0,0
CA,91765,0,1,11,55,14
CA,91769,0,1,27,18,5
